taxon_id, parent_id, page_id
20634473, 20634121, 1274344
20634474, 20634121, 453218
20634475, 20634121, 2927917
20634476, 20634121, 453217
20634477, 20634121, 453219
20634478, 20634121, 453216
20634479, 20634121, 1274331
20634480, 20634121, 1274349
20634481, 20634121, 1262626
20634482, 20634121, 1238529
20634485, 20634121, 453214
20634490, 20634121, 503072
20634492, 20634121, 453215
20634493, 20634121, 453212
20634494, 20634121, 1262633
20634495, 20634121, 1238301
20634496, 20634121, 1262631
20634500, 20634121, 453213
20634501, 20634121, 397232
20634502, 20634121, 1238314
20634503, 20634121, 406409
20634504, 20634121, 1238308
20634505, 20634121, 453211
20634507, 20634121, 508707
20634508, 20634121, 1238306
20634509, 20634121, 1262629
20634510, 20634121, 1274351
20634511, 20634121, 397017
20634512, 20634121, 1238899
37999102, 20634121, 1274341
37999103, 20634121, 1274342
37999104, 20634121, 1274345
37999105, 20634121, 1274343
37999106, 20634121, 1262618
37999107, 20634121, 1274348
37999108, 20634121, 1238530
37999109, 20634121, 1238528
37999110, 20634121, 1262625
37999111, 20634121, 1262635
37999112, 20634121, 10308045
37999113, 20634121, 10308046
37999114, 20634121, 1238309
53893332, 20634121, 503069
53893333, 20634121, 1238311
53893334, 20634121, 3805311
20634122, 20634116, 34617
20634513, 20634122, 481288
20634514, 20634122, 471396
20634515, 20634122, 471388
20634516, 20634122, 2927958
20634517, 20634122, 2927959
20634518, 20634122, 393600
20634519, 20634122, 471377
20634520, 20634122, 471375
20634521, 20634122, 471378
20634522, 20634122, 470536
20634523, 20634122, 478241
20634524, 20634122, 398730
20634525, 20634122, 2927967
20634526, 20634122, 478240
20634527, 20634122, 470534
20634528, 20634122, 2927970
20634529, 20634122, 2927971
20634530, 20634122, 398957
20634531, 20634122, 2927973
20634532, 20634122, 2927974
20634533, 20634122, 478201
20634534, 20634122, 590409
20634535, 20634122, 597006
20634536, 20634122, 590405
20634537, 20634122, 398904
20634538, 20634122, 2927980
20634539, 20634122, 477636
20634540, 20634122, 470531
20634541, 20634122, 466626
20634542, 20634122, 470521
20634543, 20634122, 2927985
20634544, 20634122, 2927986
20634545, 20634122, 398092
20634546, 20634122, 470524
20634547, 20634122, 397998
20634548, 20634122, 2927990
20634549, 20634122, 2927991
20634550, 20634122, 2927992
37999115, 20634122, 398108
37999116, 20634122, 20438950
41024994, 20634122, 23461312
53893335, 20634122, 398731
20634123, 20634116, 50731
20634551, 20634123, 2927993
20634552, 20634123, 508708
20634553, 20634123, 2927995
20634555, 20634123, 2927997
20634556, 20634123, 2927998
20634557, 20634123, 2927999
20634558, 20634123, 2928000
20634559, 20634123, 406400
20634560, 20634123, 2928002
20634561, 20634123, 2928003
20634562, 20634123, 2928004
20634563, 20634123, 2928005
20634564, 20634123, 2928006
20634565, 20634123, 2928007
20634566, 20634123, 406402
20634567, 20634123, 2928009
20634568, 20634123, 406398
20634569, 20634123, 406401
20634570, 20634123, 2928012
20634571, 20634123, 397015
20634572, 20634123, 2928014
53893336, 20634123, 36508860
53893337, 20634123, 36508861
53893338, 20634123, 36549009
53893339, 20634123, 36508862
53893340, 20634123, 36508863
53893341, 20634123, 36508864
53893342, 20634123, 36549013
53893343, 20634123, 36508865
53893344, 20634123, 36549015
20634124, 20634116, 62621
20634573, 20634124, 491832
53893345, 20634124, 36549016
53893346, 20634124, 36549017
53893347, 20634124, 36549018
53893348, 20634124, 36549019
53893349, 20634124, 36549020
53893350, 20634124, 36549021
53893351, 20634124, 36549022
53893352, 20634124, 36549023
20634125, 20634116, 53205
20634574, 20634125, 406399
20634126, 20634116, 59504
20634575, 20634126, 474311
20634576, 20634126, 474315
20634577, 20634126, 468729
20634578, 20634126, 474308
20634579, 20634126, 468725
20634580, 20634126, 468658
20634581, 20634126, 468659
20634127, 20634116, 32661
20634582, 20634127, 474650
20634583, 20634127, 476641
20634584, 20634127, 1238709
20634585, 20634127, 420780
